ticker,realized_pnl_usd,is_win,gross_payout_usd,gross_cost_usd,fee_cost,yes_count,no_count,paired_count,net_count,market_result,early_sell_contracts,early_sell_lost_usd,early_sell_saved_usd,settled_ts
KXBTC15M-26JAN181100-00,-0.05,False,0.0,0.04,0.01,0,1,0,1,yes,0,0.0,0.0,2026-01-18 16:02:00.950467+00:00
KXBTC15M-26JAN180715-15,-1.08,False,0.0,1.04,0.04,2,0,0,2,no,0,0.0,0.0,2026-01-18 12:16:50.847652+00:00
KXBTC15M-26JAN180700-00,-0.75,False,3.0,3.67,0.08,3,3,3,0,yes,0,0.0,0.0,2026-01-18 12:02:10.848967+00:00
KXBTC15M-26JAN180645-45,-0.7300000000000001,False,2.0,2.68,0.05,2,2,2,0,yes,0,0.0,0.0,2026-01-18 11:46:50.846918+00:00
KXBTC15M-26JAN180630-30,-0.75,False,3.0,3.65,0.1,3,3,3,0,no,0,0.0,0.0,2026-01-18 11:32:00.898584+00:00
KXBTC15M-26JAN180600-00,-1.33,False,3.0,4.25,0.08,3,3,3,0,yes,0,0.0,0.0,2026-01-18 11:02:10.899441+00:00
KXBTC15M-26JAN180545-45,-1.03,False,3.0,3.95,0.08,3,3,3,0,yes,0,0.0,0.0,2026-01-18 10:46:40.899859+00:00
KXBTC15M-26JAN180530-30,0.8999999999999999,True,3.0,2.04,0.06,0,3,0,3,no,0,0.0,0.0,2026-01-18 10:32:00.900882+00:00
KXBTC15M-26JAN180515-15,-0.91,False,0.0,0.87,0.04,2,0,0,2,no,0,0.0,0.0,2026-01-18 10:16:50.850569+00:00
KXBTC15M-26JAN180500-00,1.02,True,2.0,0.94,0.04,2,0,0,2,yes,0,0.0,0.0,2026-01-18 10:02:00.847079+00:00
KXBTC15M-26JAN180445-45,-0.8400000000000001,False,0.0,0.78,0.06,0,3,0,3,yes,0,0.0,0.0,2026-01-18 09:46:50.848083+00:00
KXBTC15M-26JAN180430-30,-0.63,False,3.0,3.53,0.1,3,3,3,0,yes,0,0.0,0.0,2026-01-18 09:31:50.848351+00:00
KXBTC15M-26JAN180415-15,-0.98,False,3.0,3.88,0.1,3,3,3,0,no,0,0.0,0.0,2026-01-18 09:16:50.898082+00:00
KXBTC15M-26JAN180400-00,0.63,True,1.0,0.35,0.02,1,0,0,1,yes,0,0.0,0.0,2026-01-18 09:02:00.897365+00:00
KXBTC15M-26JAN180345-45,-1.26,False,1.0,2.16,0.1,1,4,1,3,yes,0,0.0,0.0,2026-01-18 08:47:30.899969+00:00
