ticker,event_ticker,market_result,yes_count,yes_total_cost,no_count,no_total_cost,revenue,settled_time,fee_cost,value
KXBTC15M-26JAN181100-00,KXBTC15M-26JAN181100,yes,0,0,1,4,0,2026-01-18T16:02:00.950467Z,0.0100,100
KXBTC15M-26JAN180715-15,KXBTC15M-26JAN180715,no,2,104,0,0,0,2026-01-18T12:16:50.847652Z,0.0400,0
KXBTC15M-26JAN180700-00,KXBTC15M-26JAN180700,yes,3,287,3,80,0,2026-01-18T12:02:10.848967Z,0.0800,100
KXBTC15M-26JAN180645-45,KXBTC15M-26JAN180645,yes,2,194,2,74,0,2026-01-18T11:46:50.846918Z,0.0500,100
KXBTC15M-26JAN180630-30,KXBTC15M-26JAN180630,no,3,104,3,261,0,2026-01-18T11:32:00.898584Z,0.1000,0
KXBTC15M-26JAN180600-00,KXBTC15M-26JAN180600,yes,3,287,3,138,0,2026-01-18T11:02:10.899441Z,0.0800,100
KXBTC15M-26JAN180545-45,KXBTC15M-26JAN180545,yes,3,292,3,103,0,2026-01-18T10:46:40.899859Z,0.0800,100
KXBTC15M-26JAN180530-30,KXBTC15M-26JAN180530,no,0,0,3,204,300,2026-01-18T10:32:00.900882Z,0.0600,0
KXBTC15M-26JAN180515-15,KXBTC15M-26JAN180515,no,2,87,0,0,0,2026-01-18T10:16:50.850569Z,0.0400,0
KXBTC15M-26JAN180500-00,KXBTC15M-26JAN180500,yes,2,94,0,0,200,2026-01-18T10:02:00.847079Z,0.0400,100
KXBTC15M-26JAN180445-45,KXBTC15M-26JAN180445,yes,0,0,3,78,0,2026-01-18T09:46:50.848083Z,0.0600,100
KXBTC15M-26JAN180430-30,KXBTC15M-26JAN180430,yes,3,260,3,93,0,2026-01-18T09:31:50.848351Z,0.1000,100
KXBTC15M-26JAN180415-15,KXBTC15M-26JAN180415,no,3,139,3,249,0,2026-01-18T09:16:50.898082Z,0.1000,0
KXBTC15M-26JAN180400-00,KXBTC15M-26JAN180400,yes,1,35,0,0,100,2026-01-18T09:02:00.897365Z,0.0200,100
