ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,fields_json,exception
2026-01-16T01:30:15.035442+00:00,1768527015.035442,INFO,__main__,CSV_LOG,CSV_LOG enabled path=%s,CSV_LOG enabled path=runs\btc15m_live_20260116_013015.csv,runs\btc15m_live_20260116_013015.csv,,,,,,,,,,,,,,,,,,,,,,,,csv_log_enabled,,,,,,runs\btc15m_live_20260116_013015.csv,,,,,,,,,,,,,,,,,,,,"{""path"": ""runs\\btc15m_live_20260116_013015.csv"", ""reason"": ""csv_log_enabled""}",
2026-01-16T01:30:17.254745+00:00,1768527017.254745,INFO,__main__,,No active markets found,No active markets found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16T01:30:22.716226+00:00,1768527022.716226,INFO,__main__,,No active markets found,No active markets found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-16T01:30:28.857755+00:00,1768527028.857755,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
2026-01-16T01:30:28.915227+00:00,1768527028.915227,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:30:28Z  KXBTC15M-26JAN152045-45  tte=14m31s  spot=$95682.59  strike=$2026.00  fee_mode=taker  fee/c=$0.0200  p_up=96.41%  mkt=72.00%  EV_yes=22.41%  EV_no=-48.41%  decision=YES  kelly=8.72%  qty=1,,KXBTC15M-26JAN152045-45,,,YES,0.08718959944588799,1,,,95682.59,2026.0,,871,taker,,,0.02,,,0.22413087844848636,0.9641308784484863,0.03586912155151367,0.72,0.5,signal,,,,,,01:30:28Z  KXBTC15M-26JAN152045-45  tte=14m31s  spot=$95682.59  strike=$2026.00  fee_mode=taker  fee/c=$0.0200  p_up=96.41%  mkt=72.00%  EV_yes=22.41%  EV_no=-48.41%  decision=YES  kelly=8.72%  qty=1,,,,,,,,,,,,,,,,,,,,"{""decision"": ""YES"", ""ev_after_fees"": 0.22413087844848636, ""fee_per_contract"": 0.02, ""kelly_fraction"": 0.08718959944588799, ""market_p_no"": 0.5, ""market_p_yes"": 0.72, ""mode"": ""taker"", ""p_no"": 0.03586912155151367, ""p_yes"": 0.9641308784484863, ""qty"": 1, ""reason"": ""signal"", ""spot_usd"": 95682.59, ""strike_usd"": 2026.0, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 871}",
2026-01-16T01:30:28.915713+00:00,1768527028.915713,WARNING,tradebot.tools.order_execution,SPOT_STRIKE_BLOCK,SPOT_STRIKE_BLOCK %s side=%s spot=%s strike=%s diff_pct=%.2f > max_pct=%.2f strike_src=%s,SPOT_STRIKE_BLOCK KXBTC15M-26JAN152045-45 side=YES spot=$95682.59 strike=$2026.00 diff_pct=97.88 > max_pct=2.00 strike_src=rules_primary,,KXBTC15M-26JAN152045-45,YES,,,,,,,95682.59,2026.0,rules_primary,871,,,,,,,,,,,,spot_strike_deviation,,97.88258240083175,2.0,,,KXBTC15M-26JAN152045-45,YES,$95682.59,$2026.00,97.88258240083175,2.0,rules_primary,,,,,,,,,,,,,,"{""diff_pct"": 97.88258240083175, ""max_pct"": 2.0, ""reason"": ""spot_strike_deviation"", ""side"": ""YES"", ""spot_usd"": 95682.59, ""strike_src"": ""rules_primary"", ""strike_usd"": 2026.0, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 871}",
2026-01-16T01:30:34.928428+00:00,1768527034.928428,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
2026-01-16T01:30:34.990802+00:00,1768527034.990802,INFO,__main__,SIGNAL,SIGNAL %s,SIGNAL 01:30:34Z  KXBTC15M-26JAN152045-45  tte=14m25s  spot=$95701.44  strike=$2026.00  fee_mode=taker  fee/c=$0.0200  p_up=96.41%  mkt=75.00%  EV_yes=19.41%  EV_no=-25.41%  decision=YES  kelly=8.57%  qty=1,,KXBTC15M-26JAN152045-45,,,YES,0.08565235137939453,1,,,95701.44,2026.0,,865,taker,,,0.02,,,0.19413087844848634,0.9641308784484863,0.03586912155151367,0.75,0.27,signal,,,,,,01:30:34Z  KXBTC15M-26JAN152045-45  tte=14m25s  spot=$95701.44  strike=$2026.00  fee_mode=taker  fee/c=$0.0200  p_up=96.41%  mkt=75.00%  EV_yes=19.41%  EV_no=-25.41%  decision=YES  kelly=8.57%  qty=1,,,,,,,,,,,,,,,,,,,,"{""decision"": ""YES"", ""ev_after_fees"": 0.19413087844848634, ""fee_per_contract"": 0.02, ""kelly_fraction"": 0.08565235137939453, ""market_p_no"": 0.27, ""market_p_yes"": 0.75, ""mode"": ""taker"", ""p_no"": 0.03586912155151367, ""p_yes"": 0.9641308784484863, ""qty"": 1, ""reason"": ""signal"", ""spot_usd"": 95701.44, ""strike_usd"": 2026.0, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 865}",
2026-01-16T01:30:34.991204+00:00,1768527034.991204,WARNING,tradebot.tools.order_execution,SPOT_STRIKE_BLOCK,SPOT_STRIKE_BLOCK %s side=%s spot=%s strike=%s diff_pct=%.2f > max_pct=%.2f strike_src=%s,SPOT_STRIKE_BLOCK KXBTC15M-26JAN152045-45 side=YES spot=$95701.44 strike=$2026.00 diff_pct=97.88 > max_pct=2.00 strike_src=rules_primary,,KXBTC15M-26JAN152045-45,YES,,,,,,,95701.44,2026.0,rules_primary,865,,,,,,,,,,,,spot_strike_deviation,,97.8829994616591,2.0,,,KXBTC15M-26JAN152045-45,YES,$95701.44,$2026.00,97.8829994616591,2.0,rules_primary,,,,,,,,,,,,,,"{""diff_pct"": 97.8829994616591, ""max_pct"": 2.0, ""reason"": ""spot_strike_deviation"", ""side"": ""YES"", ""spot_usd"": 95701.44, ""strike_src"": ""rules_primary"", ""strike_usd"": 2026.0, ""ticker"": ""KXBTC15M-26JAN152045-45"", ""tte_s"": 865}",
2026-01-16T01:30:40.955094+00:00,1768527040.955094,INFO,__main__,BALANCE,BALANCE available=$%.2f portfolio_value=$%.2f,BALANCE available=$16.96 portfolio_value=$0.00,,,,,,,,,,,,,,,,,,16.96,0.0,,,,,,balance,,,,,,16.96,0.0,,,,,,,,,,,,,,,,,,,"{""bankroll_usd"": 16.96, ""portfolio_value_usd"": 0.0, ""reason"": ""balance""}",
