ts_utc_iso,ts_epoch,level,logger,event,msg_template,message,arg0,arg1,arg2,arg3,arg4,arg5,arg6,arg7,arg8,arg9,arg10,arg11,arg12,arg13,arg14,arg15,arg16,arg17,arg18,arg19,run_id,poll_id,path,ticker,side,action,decision,kelly_fraction,qty,price_cents,price_dollars,spot_usd,strike_usd,strike_src,tte_s,mode,time_in_force,fee_assumption,fee_per_contract,bankroll_usd,portfolio_value_usd,ev_after_fees,p_yes,p_no,market_p_yes,market_p_no,reason,order_id,diff_pct,max_pct,error,error_type,fields_json,exception
2026-01-18T01:11:05.983727+00:00,1768698665.983727,INFO,__main__,CSV_LOG,CSV_LOG enabled path=%s run_id=%s,CSV_LOG enabled path=runs\btc15m_live_v2_20260118_011105.csv run_id=20260118_011105_d1abdee4,runs\btc15m_live_v2_20260118_011105.csv,20260118_011105_d1abdee4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:12.169209+00:00,1768698672.169209,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94835.74 kr_mid=94832.15 composite=94833.94 diff=+3.59,94835.74,94832.15,94833.94,+3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:12.169623+00:00,1768698672.169623,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768698671242 now_ms_local=1768698671242 trades_ingested=100 vwap_count=100 vwap_60s=94838.88 vwap_age_ms=3162 cb_bid=94835.73 cb_ask=94835.74 cb_mid=94835.74,1768698671242,1768698671242,100,100,94838.88,3162,94835.73,94835.74,94835.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:13.004106+00:00,1768698673.004106,INFO,tradebot.tools.kalshi_market_poll,MARKET_STATUSES,MARKET_STATUSES series=%s total=%d today_prefix=%s today_count=%d unique_statuses=%s,MARKET_STATUSES series=KXBTC15M total=200 today_prefix=KXBTC15M-26JAN18 today_count=96 unique_statuses={'initialized'},KXBTC15M,200,KXBTC15M-26JAN18,96,{'initialized'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:13.004415+00:00,1768698673.004415,INFO,tradebot.tools.kalshi_market_poll,MARKET_DEBUG,MARKET_DEBUG idx=%d ticker=%s status=%s cutoff=%s field=%s close_time=%s exp_time=%s,MARKET_DEBUG idx=0 ticker=KXBTC15M-26JAN182345-45 status=initialized cutoff=2026-01-19T04:45:00+00:00 field=close_time close_time=2026-01-19T04:45:00Z exp_time=2026-01-26T04:45:00Z,0,KXBTC15M-26JAN182345-45,initialized,2026-01-19T04:45:00+00:00,close_time,2026-01-19T04:45:00Z,2026-01-26T04:45:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:13.004709+00:00,1768698673.004709,INFO,tradebot.tools.kalshi_market_poll,MARKET_DEBUG,MARKET_DEBUG idx=%d ticker=%s status=%s cutoff=%s field=%s close_time=%s exp_time=%s,MARKET_DEBUG idx=1 ticker=KXBTC15M-26JAN182330-30 status=initialized cutoff=2026-01-19T04:30:00+00:00 field=close_time close_time=2026-01-19T04:30:00Z exp_time=2026-01-26T04:30:00Z,1,KXBTC15M-26JAN182330-30,initialized,2026-01-19T04:30:00+00:00,close_time,2026-01-19T04:30:00Z,2026-01-26T04:30:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:13.004925+00:00,1768698673.004925,INFO,tradebot.tools.kalshi_market_poll,MARKET_DEBUG,MARKET_DEBUG idx=%d ticker=%s status=%s cutoff=%s field=%s close_time=%s exp_time=%s,MARKET_DEBUG idx=2 ticker=KXBTC15M-26JAN182315-15 status=initialized cutoff=2026-01-19T04:15:00+00:00 field=close_time close_time=2026-01-19T04:15:00Z exp_time=2026-01-26T04:15:00Z,2,KXBTC15M-26JAN182315-15,initialized,2026-01-19T04:15:00+00:00,close_time,2026-01-19T04:15:00Z,2026-01-26T04:15:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:13.005277+00:00,1768698673.005277,INFO,tradebot.tools.kalshi_market_poll,MARKET_FILTER,MARKET_FILTER series=%s status_matched=%d valid=%d skipped=%s horizon=%dm min_tte=%ds,"MARKET_FILTER series=KXBTC15M status_matched=96 valid=0 skipped={'no_cutoff': 0, 'expired': 0, 'too_far': 96, 'min_tte': 0} horizon=60m min_tte=30s",KXBTC15M,96,0,"{'no_cutoff': 0, 'expired': 0, 'too_far': 96, 'min_tte': 0}",60,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:13.005610+00:00,1768698673.005610,INFO,__main__,,No active markets found,No active markets found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:24.123352+00:00,1768698684.123352,INFO,tradebot.tools.kalshi_market_poll,EXCHANGE_PRICES,EXCHANGE_PRICES cb_mid=%s kr_mid=%s composite=%s diff=%s,EXCHANGE_PRICES cb_mid=94847.99 kr_mid=94832.15 composite=94840.07 diff=+15.85,94847.99,94832.15,94840.07,+15.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:24.123568+00:00,1768698684.123568,INFO,tradebot.tools.kalshi_market_poll,COINBASE_VWAP,COINBASE_VWAP now_ms=%d now_ms_local=%d trades_ingested=%d vwap_count=%d vwap_60s=%s vwap_age_ms=%s cb_bid=%s cb_ask=%s cb_mid=%s,COINBASE_VWAP now_ms=1768698683449 now_ms_local=1768698683449 trades_ingested=0 vwap_count=100 vwap_60s=94838.88 vwap_age_ms=15369 cb_bid=94847.99 cb_ask=94848.00 cb_mid=94847.99,1768698683449,1768698683449,0,100,94838.88,15369,94847.99,94848.00,94847.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:24.659344+00:00,1768698684.659344,INFO,tradebot.tools.kalshi_market_poll,MARKET_STATUSES,MARKET_STATUSES series=%s total=%d today_prefix=%s today_count=%d unique_statuses=%s,MARKET_STATUSES series=KXBTC15M total=200 today_prefix=KXBTC15M-26JAN18 today_count=96 unique_statuses={'initialized'},KXBTC15M,200,KXBTC15M-26JAN18,96,{'initialized'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:24.659685+00:00,1768698684.659685,INFO,tradebot.tools.kalshi_market_poll,MARKET_DEBUG,MARKET_DEBUG idx=%d ticker=%s status=%s cutoff=%s field=%s close_time=%s exp_time=%s,MARKET_DEBUG idx=0 ticker=KXBTC15M-26JAN182345-45 status=initialized cutoff=2026-01-19T04:45:00+00:00 field=close_time close_time=2026-01-19T04:45:00Z exp_time=2026-01-26T04:45:00Z,0,KXBTC15M-26JAN182345-45,initialized,2026-01-19T04:45:00+00:00,close_time,2026-01-19T04:45:00Z,2026-01-26T04:45:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:24.659939+00:00,1768698684.659939,INFO,tradebot.tools.kalshi_market_poll,MARKET_DEBUG,MARKET_DEBUG idx=%d ticker=%s status=%s cutoff=%s field=%s close_time=%s exp_time=%s,MARKET_DEBUG idx=1 ticker=KXBTC15M-26JAN182330-30 status=initialized cutoff=2026-01-19T04:30:00+00:00 field=close_time close_time=2026-01-19T04:30:00Z exp_time=2026-01-26T04:30:00Z,1,KXBTC15M-26JAN182330-30,initialized,2026-01-19T04:30:00+00:00,close_time,2026-01-19T04:30:00Z,2026-01-26T04:30:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-18T01:11:24.660106+00:00,1768698684.660106,INFO,tradebot.tools.kalshi_market_poll,MARKET_DEBUG,MARKET_DEBUG idx=%d ticker=%s status=%s cutoff=%s field=%s close_time=%s exp_time=%s,MARKET_DEBUG idx=2 ticker=KXBTC15M-26JAN182315-15 status=initialized cutoff=2026-01-19T04:15:00+00:00 field=close_time close_time=2026-01-19T04:15:00Z exp_time=2026-01-26T04:15:00Z,2,KXBTC15M-26JAN182315-15,initialized,2026-01-19T04:15:00+00:00,close_time,2026-01-19T04:15:00Z,2026-01-26T04:15:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
