ticker,realized_pnl_usd,is_win,gross_payout_usd,gross_cost_usd,fee_cost,yes_count,no_count,paired_count,net_count,market_result,early_sell_contracts,early_sell_lost_usd,early_sell_saved_usd,settled_ts
KXBTC15M-26JAN162330-30,-0.91,False,5.0,5.8,0.11,5,5,5,0,no,5,0.0,0.91,2026-01-17 04:31:50.861883+00:00
KXBTC15M-26JAN162315-15,-0.63,False,0.0,0.58,0.05,5,0,0,5,no,0,0.0,0.0,2026-01-17 04:17:30.870852+00:00
KXBTC15M-26JAN162300-00,-1.02,False,0.0,0.96,0.06,0,5,0,5,yes,0,0.0,0.0,2026-01-17 04:02:00.859767+00:00
KXBTC15M-26JAN162245-45,2.23,True,5.0,2.67,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-17 03:46:50.915756+00:00
KXBTC15M-26JAN162230-30,0.84,True,2.0,1.12,0.04,0,2,0,2,no,0,0.0,0.0,2026-01-17 03:32:00.862340+00:00
KXBTC15M-26JAN162215-15,-0.95,False,0.0,0.89,0.06,5,0,0,5,no,0,0.0,0.0,2026-01-17 03:16:50.859349+00:00
KXBTC15M-26JAN162200-00,0.6799999999999999,True,1.0,0.3,0.02,1,0,0,1,yes,0,0.0,0.0,2026-01-17 03:02:10.864216+00:00
KXBTC15M-26JAN162145-45,-1.7200000000000002,False,5.0,6.59,0.13,5,5,5,0,yes,5,0.0,1.7200000000000002,2026-01-17 02:46:50.961547+00:00
KXBTC15M-26JAN162130-30,2.28,True,5.0,2.62,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-17 02:31:50.915040+00:00
KXBTC15M-26JAN162115-15,2.1,True,5.0,2.8,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-17 02:16:40.911299+00:00
KXBTC15M-26JAN162100-00,2.45,True,5.0,2.42,0.13,5,5,5,0,no,5,2.9800000000000004,0.0,2026-01-17 02:02:00.912967+00:00
KXBTC15M-26JAN162045-45,1.15,True,2.0,0.81,0.04,0,2,0,2,no,0,0.0,0.0,2026-01-17 01:46:50.916780+00:00
KXBTC15M-26JAN162030-30,-0.7200000000000001,False,7.0,7.56,0.16,7,5,5,2,yes,5,0.0,0.7200000000000001,2026-01-17 01:32:00.912544+00:00
KXBTC15M-26JAN162015-15,3.17,True,5.0,1.73,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-17 01:16:50.961700+00:00
KXBTC15M-26JAN162000-00,-0.45999999999999996,False,7.0,7.3,0.16,5,7,5,2,no,5,0.0,0.45999999999999996,2026-01-17 01:02:00.963292+00:00
KXBTC15M-26JAN161945-45,-2.06,False,5.0,6.9,0.16,5,5,5,0,yes,5,0.0,2.06,2026-01-17 00:46:44.957596+00:00
KXBTC15M-26JAN161930-30,0.6900000000000001,True,7.0,6.09,0.22,5,7,5,2,no,5,0.0,0.6900000000000001,2026-01-17 00:31:54.952746+00:00
KXBTC15M-26JAN161900-00,-0.99,False,0.0,0.91,0.08,0,5,0,5,yes,0,0.0,0.0,2026-01-17 00:02:05.058835+00:00
KXBTC15M-26JAN161845-45,1.4,True,3.0,1.54,0.06,0,3,0,3,no,0,0.0,0.0,2026-01-16 23:46:45.009526+00:00
KXBTC15M-26JAN161830-30,1.92,True,4.0,2.0,0.08,4,0,0,4,yes,0,0.0,0.0,2026-01-16 23:31:55.008559+00:00
KXBTC15M-26JAN161815-15,2.1,True,5.0,2.8,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 23:17:35.061870+00:00
KXBTC15M-26JAN161800-00,-0.95,False,0.0,0.89,0.06,0,5,0,5,yes,0,0.0,0.0,2026-01-16 23:02:05.012508+00:00
KXBTC15M-26JAN161745-45,-0.53,False,0.0,0.48,0.05,5,0,0,5,no,0,0.0,0.0,2026-01-16 22:46:45.058723+00:00
KXBTC15M-26JAN161730-30,-2.37,False,0.0,2.27,0.1,0,5,0,5,yes,0,0.0,0.0,2026-01-16 22:31:55.010760+00:00
KXBTC15M-26JAN161715-15,1.5599999999999998,True,5.0,3.35,0.09,0,5,0,5,no,0,0.0,0.0,2026-01-16 22:16:45.006934+00:00
KXBTC15M-26JAN161700-00,1.7799999999999998,True,5.0,3.12,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 22:01:55.111637+00:00
KXBTC15M-26JAN161645-45,-1.3299999999999998,False,5.0,6.15,0.18,5,5,5,0,yes,5,0.0,1.3299999999999998,2026-01-16 21:46:54.957563+00:00
KXBTC15M-26JAN161630-30,1.88,True,5.0,3.02,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 21:31:54.133485+00:00
KXBTC15M-26JAN161615-15,1.32,True,8.0,6.45,0.23,4,8,4,4,no,4,0.0,1.32,2026-01-16 21:16:44.057207+00:00
KXBTC15M-26JAN161600-00,0.9999999999999999,True,6.0,4.86,0.14,6,1,1,5,yes,1,0.0,0.9999999999999999,2026-01-16 21:02:04.104969+00:00
KXBTC15M-26JAN161545-45,0.75,True,3.0,2.2,0.05,3,0,0,3,yes,0,0.0,0.0,2026-01-16 20:46:53.854513+00:00
KXBTC15M-26JAN161530-30,-1.12,False,0.0,1.04,0.08,0,5,0,5,yes,0,0.0,0.0,2026-01-16 20:31:53.856720+00:00
KXBTC15M-26JAN161515-15,-0.44999999999999996,False,0.0,0.41,0.04,4,0,0,4,no,0,0.0,0.0,2026-01-16 20:16:43.803430+00:00
KXBTC15M-26JAN161500-00,-0.25,False,4.0,4.14,0.11,4,3,3,1,yes,3,0.0,0.25,2026-01-16 20:02:03.906043+00:00
KXBTC15M-26JAN161445-45,-0.5700000000000001,False,5.0,5.51,0.06,5,5,5,0,yes,5,0.0,0.5700000000000001,2026-01-16 19:46:43.903491+00:00
KXBTC15M-26JAN161430-30,0.85,True,2.0,1.11,0.04,0,2,0,2,no,0,0.0,0.0,2026-01-16 19:31:53.859751+00:00
KXBTC15M-26JAN161415-15,1.5,True,5.0,3.4,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 19:16:43.859274+00:00
KXBTC15M-26JAN161400-00,2.19,True,5.0,2.71,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 19:02:03.905358+00:00
KXBTC15M-26JAN161345-45,2.11,True,5.0,2.79,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 18:46:43.855553+00:00
KXBTC15M-26JAN161330-30,-1.25,False,4.0,5.15,0.1,4,4,4,0,yes,4,0.0,1.25,2026-01-16 18:31:53.806040+00:00
KXBTC15M-26JAN161315-15,-0.69,False,5.0,5.5,0.19,5,5,5,0,yes,5,1.9,0.0,2026-01-16 18:16:43.818287+00:00
KXBTC15M-26JAN161300-00,-1.5799999999999998,False,7.0,8.38,0.2,7,5,5,2,yes,5,0.0,1.5799999999999998,2026-01-16 18:01:53.803454+00:00
KXBTC15M-26JAN161245-45,1.29,True,7.0,5.53,0.18,7,2,2,5,yes,2,0.0,1.29,2026-01-16 17:46:43.857235+00:00
KXBTC15M-26JAN161230-30,2.4699999999999998,True,5.0,2.45,0.08,0,5,0,5,no,0,0.0,0.0,2026-01-16 17:31:53.556070+00:00
KXBTC15M-26JAN161215-15,1.0499999999999998,True,5.0,3.87,0.08,0,5,0,5,no,0,0.0,0.0,2026-01-16 17:16:43.555917+00:00
KXBTC15M-26JAN161200-00,1.0099999999999998,True,6.0,4.86,0.13,1,6,1,5,no,1,0.0,1.0099999999999998,2026-01-16 17:02:03.554508+00:00
KXBTC15M-26JAN161145-45,-0.30000000000000004,False,10.0,10.03,0.27,10,5,5,5,yes,5,0.0,0.30000000000000004,2026-01-16 16:46:43.554346+00:00
KXBTC15M-26JAN161130-30,0.42,True,1.0,0.56,0.02,1,0,0,1,yes,0,0.0,0.0,2026-01-16 16:32:03.556286+00:00
KXBTC15M-26JAN161115-15,-0.6,False,10.0,10.37,0.23,10,5,5,5,yes,5,0.0,0.6,2026-01-16 16:16:43.555133+00:00
KXBTC15M-26JAN161100-00,-1.54,False,10.0,11.3,0.24,10,5,5,5,yes,5,0.0,1.54,2026-01-16 16:02:03.558090+00:00
KXBTC15M-26JAN161045-45,2.2199999999999998,True,5.0,2.68,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 15:46:43.654351+00:00
KXBTC15M-26JAN161015-15,0.24000000000000005,True,10.0,9.47,0.29,10,5,5,5,yes,5,0.0,0.24000000000000005,2026-01-16 15:16:53.558888+00:00
KXBTC15M-26JAN161000-00,2.56,True,5.0,2.34,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 15:02:03.657501+00:00
KXBTC15M-26JAN160945-45,1.8499999999999999,True,5.0,3.05,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 14:47:33.557268+00:00
KXBTC15M-26JAN160930-30,-0.86,False,6.0,6.65,0.21,6,5,5,1,yes,5,0.0,0.86,2026-01-16 14:32:03.854147+00:00
KXBTC15M-26JAN160915-15,1.32,True,8.0,6.46,0.22,3,8,3,5,no,3,0.0,1.32,2026-01-16 14:16:43.554016+00:00
KXBTC15M-26JAN160900-00,0.32000000000000006,True,8.0,7.47,0.21,8,5,5,3,yes,5,0.0,0.32000000000000006,2026-01-16 14:02:03.558281+00:00
KXBTC15M-26JAN160845-45,1.49,True,5.0,3.41,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 13:46:43.556688+00:00
KXBTC15M-26JAN160830-30,-0.78,False,7.0,7.58,0.2,7,5,5,2,yes,5,0.0,0.78,2026-01-16 13:32:13.555538+00:00
KXBTC15M-26JAN160815-15,-2.94,False,5.0,7.82,0.12,5,5,5,0,yes,5,0.0,2.94,2026-01-16 13:16:43.604856+00:00
KXBTC15M-26JAN160800-00,2.14,True,5.0,2.76,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 13:02:13.555831+00:00
KXBTC15M-26JAN160745-45,0.75,True,3.0,2.2,0.05,0,3,0,3,no,0,0.0,0.0,2026-01-16 12:46:43.555006+00:00
KXBTC15M-26JAN160730-30,1.8599999999999999,True,5.0,3.04,0.1,5,0,0,5,yes,0,0.0,0.0,2026-01-16 12:32:03.554587+00:00
KXBTC15M-26JAN160715-15,-2.23,False,5.0,7.09,0.14,5,5,5,0,yes,5,0.0,2.23,2026-01-16 12:16:43.556333+00:00
KXBTC15M-26JAN160700-00,0.33999999999999997,True,1.0,0.64,0.02,1,0,0,1,yes,0,0.0,0.0,2026-01-16 12:02:03.556340+00:00
KXBTC15M-26JAN160645-45,-1.46,False,5.0,6.28,0.18,5,5,5,0,no,5,2.12,0.0,2026-01-16 11:46:53.556731+00:00
KXBTC15M-26JAN160630-30,-2.43,False,0.0,2.33,0.1,0,5,0,5,yes,0,0.0,0.0,2026-01-16 11:31:53.554117+00:00
KXBTC15M-26JAN160615-15,-1.95,False,5.0,6.8,0.15,5,5,5,0,no,5,2.3499999999999996,0.0,2026-01-16 11:16:43.553871+00:00
KXBTC15M-26JAN160600-00,-1.54,False,5.0,6.28,0.26,10,5,5,5,no,5,3.3899999999999997,0.0,2026-01-16 11:02:03.558494+00:00
KXBTC15M-26JAN160545-45,2.0,True,5.0,2.9,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 10:46:43.561176+00:00
KXBTC15M-26JAN160530-30,-0.47,False,0.0,0.42,0.05,5,0,0,5,no,0,0.0,0.0,2026-01-16 10:32:03.555634+00:00
KXBTC15M-26JAN160515-15,1.69,True,5.0,3.21,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 10:16:43.554324+00:00
KXBTC15M-26JAN160500-00,1.74,True,5.0,3.16,0.1,0,5,0,5,no,0,0.0,0.0,2026-01-16 10:02:03.555515+00:00
