ticker,realized_pnl_usd,is_win,gross_payout_usd,gross_cost_usd,fee_cost,yes_count,no_count,paired_count,net_count,market_result,early_sell_contracts,early_sell_lost_usd,early_sell_saved_usd
KXBTC15M-26JAN131430-30,-0.41000000000000003,False,2.0,2.33,0.08,2,2,2,0,yes,2,0.0,0.41000000000000003
KXBTC15M-26JAN131415-15,-0.53,False,2.0,2.45,0.08,2,2,2,0,no,2,0.0,0.53
KXBTC15M-26JAN131400-00,-0.32,False,1.0,1.28,0.04,1,1,1,0,no,1,0.0,0.32
KXBTC15M-26JAN131345-45,-0.6000000000000001,False,2.0,2.53,0.07,2,2,2,0,yes,2,0.6299999999999999,0.0
KXBTC15M-26JAN131330-30,-0.36,False,3.0,3.26,0.1,3,3,3,0,no,3,2.08,0.0
KXBTC15M-26JAN131315-15,-0.27,False,3.0,3.21,0.06,3,3,3,0,yes,3,0.0,0.27
KXBTC15M-26JAN131300-00,-0.1,False,1.0,1.06,0.04,1,1,1,0,no,1,0.59,0.0
KXBTC15M-26JAN131245-45,-0.63,False,3.0,3.52,0.11,3,3,3,0,no,3,0.9500000000000003,0.0
KXBTC15M-26JAN131230-30,1.9699999999999998,True,3.0,0.97,0.06,3,0,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN131215-15,-1.6300000000000001,False,3.0,4.53,0.1,3,3,3,0,no,3,0.0,1.6300000000000001
KXBTC15M-26JAN131200-00,-0.87,False,3.0,3.76,0.11,3,3,3,0,no,3,0.0,0.87
KXBTC15M-26JAN131145-45,0.85,True,3.0,2.1,0.05,3,0,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN131130-30,-0.56,False,3.0,3.45,0.11,3,3,3,0,no,3,0.0,0.56
KXBTC15M-26JAN131115-15,-0.84,False,3.0,3.72,0.12,3,3,3,0,no,3,0.0,0.84
KXBTC15M-26JAN131100-00,0.8799999999999999,True,3.0,2.06,0.06,3,0,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN131045-45,0.82,True,3.0,2.13,0.05,3,0,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN131030-30,0.61,True,3.0,2.35,0.04,0,3,0,3,no,0,0.0,0.0
KXBTC15M-26JAN131015-15,-1.01,False,3.0,3.89,0.12,3,3,3,0,yes,3,0.0,1.01
KXBTC15M-26JAN131000-00,0.76,True,3.0,2.18,0.06,0,3,0,3,no,0,0.0,0.0
KXBTC15M-26JAN130945-45,-0.59,False,3.0,3.47,0.12,3,3,3,0,yes,3,1.2399999999999998,0.0
KXBTC15M-26JAN130930-30,0.75,True,3.0,2.19,0.06,3,0,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN130915-15,0.75,True,3.0,2.19,0.06,0,3,0,3,no,0,0.0,0.0
KXBTC15M-26JAN130900-00,-0.18,False,2.0,2.11,0.07,2,2,2,0,no,2,0.0,0.18
KXBTC15M-26JAN130845-45,-0.94,False,3.0,3.84,0.1,3,3,3,0,yes,3,0.5400000000000001,0.0
KXBTC15M-26JAN130830-30,0.05000000000000002,True,3.0,2.83,0.12,3,3,3,0,yes,3,0.0,0.05000000000000002
KXBTC15M-26JAN130815-15,-0.36,False,3.0,3.31,0.05,3,3,3,0,no,3,0.0,0.36
KXBTC15M-26JAN130800-00,-1.4000000000000001,False,0.0,1.34,0.06,3,0,0,3,no,0,0.0,0.0
KXBTC15M-26JAN130745-45,0.71,True,2.0,1.25,0.04,2,0,0,2,yes,0,0.0,0.0
KXBTC15M-26JAN130730-30,-1.19,False,0.0,1.13,0.06,0,3,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN130715-15,-0.039999999999999994,False,3.0,2.92,0.12,3,3,3,0,no,3,1.7,0.0
KXBTC15M-26JAN130700-00,1.23,True,3.0,1.71,0.06,0,3,0,3,no,0,0.0,0.0
KXBTC15M-26JAN130645-45,-0.44,False,3.0,3.39,0.05,3,3,3,0,no,3,0.0,0.44
KXBTC15M-26JAN130630-30,-0.48,False,3.0,3.39,0.09,3,3,3,0,no,3,0.0,0.48
KXBTC15M-26JAN130615-15,-1.11,False,3.0,4.0,0.11,3,3,3,0,yes,3,0.0,1.11
KXBTC15M-26JAN130600-00,-1.1800000000000002,False,3.0,4.1,0.08,3,3,3,0,yes,3,0.0,1.1800000000000002
KXBTC15M-26JAN130545-45,1.66,True,3.0,1.28,0.06,0,3,0,3,no,0,0.0,0.0
KXBTC15M-26JAN130530-30,0.73,True,3.0,2.21,0.06,0,3,0,3,no,0,0.0,0.0
KXBTC15M-26JAN130515-15,1.22,True,3.0,1.72,0.06,3,0,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN130500-00,-0.44,False,3.0,3.36,0.08,3,3,3,0,yes,3,0.0,0.44
KXBTC15M-26JAN130445-45,-1.4000000000000001,False,0.0,1.34,0.06,3,0,0,3,no,0,0.0,0.0
KXBTC15M-26JAN130430-30,1.78,True,3.0,1.16,0.06,3,0,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN130415-15,-0.19,False,2.0,2.16,0.03,2,2,2,0,yes,2,0.0,0.19
KXBTC15M-26JAN130400-00,-0.22999999999999998,False,3.0,3.11,0.12,3,3,3,0,yes,3,1.1800000000000002,0.0
KXBTC15M-26JAN130345-45,0.7899999999999999,True,2.0,1.17,0.04,2,0,0,2,yes,0,0.0,0.0
KXBTC15M-26JAN130330-30,-0.45,False,3.0,3.39,0.06,3,3,3,0,no,3,2.46,0.0
KXBTC15M-26JAN130315-15,-0.24,False,3.0,3.13,0.11,3,3,3,0,yes,3,0.0,0.24
KXBTC15M-26JAN130300-00,-0.71,False,3.0,3.6,0.11,3,3,3,0,yes,3,0.0,0.71
KXBTC15M-26JAN130245-45,1.15,True,3.0,1.79,0.06,0,3,0,3,no,0,0.0,0.0
KXBTC15M-26JAN130230-30,0.8,True,3.0,2.14,0.06,0,3,0,3,no,0,0.0,0.0
KXBTC15M-26JAN130215-15,0.05,True,2.0,1.87,0.08,2,2,2,0,no,2,0.0,0.05
KXBTC15M-26JAN130200-00,-0.78,False,0.0,0.72,0.06,0,3,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN130145-45,-0.75,False,3.0,3.67,0.08,3,3,3,0,yes,3,0.0,0.75
KXBTC15M-26JAN130130-30,0.5800000000000001,True,3.0,2.36,0.06,3,0,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN130115-15,1.06,True,3.0,1.88,0.06,0,3,0,3,no,0,0.0,0.0
KXBTC15M-26JAN130100-00,-0.17,False,1.0,1.13,0.04,1,1,1,0,no,1,0.0,0.17
KXBTC15M-26JAN130045-45,-0.16,False,2.0,2.09,0.07,2,2,2,0,no,2,0.0,0.16
KXBTC15M-26JAN130030-30,-0.49,False,3.0,3.43,0.06,3,3,3,0,yes,3,0.0,0.49
KXBTC15M-26JAN130015-15,-0.44999999999999996,False,0.0,0.42,0.03,0,3,0,3,yes,0,0.0,0.0
KXBTC15M-26JAN130000-00,-1.1300000000000001,False,3.0,4.03,0.1,3,3,3,0,yes,3,0.0,1.1300000000000001
KXBTC15M-26JAN122345-45,-0.04,False,1.0,1.02,0.02,1,1,1,0,no,1,0.0,0.04
KXBTC15M-26JAN122330-30,-0.71,False,3.0,3.6,0.11,3,3,3,0,no,3,0.0,0.71
KXBTC15M-26JAN122315-15,-1.01,False,0.0,0.97,0.04,0,2,0,2,yes,0,0.0,0.0
KXBTC15M-26JAN122300-00,-0.9199999999999999,False,2.0,2.85,0.07,2,2,2,0,yes,2,0.0,0.9199999999999999
KXBTC15M-26JAN122245-45,-0.85,False,4.0,4.75,0.1,4,4,4,0,no,4,0.0,0.85
