ticker,event_ticker,market_result,yes_count,yes_total_cost,no_count,no_total_cost,revenue,settled_time,fee_cost,value
KXBTC15M-26JAN162330-30,KXBTC15M-26JAN162330,no,5,105,5,475,0,2026-01-17T04:31:50.861883Z,0.1100,0
KXBTC15M-26JAN162315-15,KXBTC15M-26JAN162315,no,5,58,0,0,0,2026-01-17T04:17:30.870852Z,0.0500,0
KXBTC15M-26JAN162300-00,KXBTC15M-26JAN162300,yes,0,0,5,96,0,2026-01-17T04:02:00.859767Z,0.0600,100
KXBTC15M-26JAN162245-45,KXBTC15M-26JAN162245,no,0,0,5,267,500,2026-01-17T03:46:50.915756Z,0.1000,0
KXBTC15M-26JAN162230-30,KXBTC15M-26JAN162230,no,0,0,2,112,200,2026-01-17T03:32:00.86234Z,0.0400,0
KXBTC15M-26JAN162215-15,KXBTC15M-26JAN162215,no,5,89,0,0,0,2026-01-17T03:16:50.859349Z,0.0600,0
KXBTC15M-26JAN162200-00,KXBTC15M-26JAN162200,yes,1,30,0,0,100,2026-01-17T03:02:10.864216Z,0.0200,100
KXBTC15M-26JAN162145-45,KXBTC15M-26JAN162145,yes,5,454,5,205,0,2026-01-17T02:46:50.961547Z,0.1300,100
KXBTC15M-26JAN162130-30,KXBTC15M-26JAN162130,no,0,0,5,262,500,2026-01-17T02:31:50.91504Z,0.1000,0
KXBTC15M-26JAN162115-15,KXBTC15M-26JAN162115,no,0,0,5,280,500,2026-01-17T02:16:40.911299Z,0.1000,0
KXBTC15M-26JAN162100-00,KXBTC15M-26JAN162100,no,5,40,5,202,0,2026-01-17T02:02:00.912967Z,0.1300,0
KXBTC15M-26JAN162045-45,KXBTC15M-26JAN162045,no,0,0,2,81,200,2026-01-17T01:46:50.91678Z,0.0400,0
KXBTC15M-26JAN162030-30,KXBTC15M-26JAN162030,yes,7,620,5,136,200,2026-01-17T01:32:00.912544Z,0.1600,100
KXBTC15M-26JAN162015-15,KXBTC15M-26JAN162015,no,0,0,5,173,500,2026-01-17T01:16:50.9617Z,0.1000,0
KXBTC15M-26JAN162000-00,KXBTC15M-26JAN162000,no,5,131,7,599,200,2026-01-17T01:02:00.963292Z,0.1600,0
