ticker,event_ticker,market_result,yes_count,yes_total_cost,no_count,no_total_cost,revenue,settled_time,fee_cost,value
KXBTC15M-26JAN122100-00,KXBTC15M-26JAN122100,yes,0,0,2,89,0,2026-01-13T02:01:51.563891Z,0.0400,100
KXBTC15M-26JAN122045-45,KXBTC15M-26JAN122045,no,0,0,2,104,200,2026-01-13T01:46:51.56675Z,0.0400,0
KXBTC15M-26JAN122030-30,KXBTC15M-26JAN122030,no,1,49,1,78,0,2026-01-13T01:31:51.577469Z,0.0400,0
KXBTC15M-26JAN122015-15,KXBTC15M-26JAN122015,no,1,74,1,48,0,2026-01-13T01:16:41.620521Z,0.0400,0
KXBTC15M-26JAN122000-00,KXBTC15M-26JAN122000,yes,2,141,0,0,200,2026-01-13T01:01:51.722565Z,0.0400,100
KXBTC15M-26JAN121945-45,KXBTC15M-26JAN121945,no,0,0,2,86,200,2026-01-13T00:46:41.617734Z,0.0400,0
KXBTC15M-26JAN121915-15,KXBTC15M-26JAN121915,yes,2,146,0,0,200,2026-01-13T00:16:41.612017Z,0.0300,100
KXBTC15M-26JAN121900-00,KXBTC15M-26JAN121900,yes,2,61,2,106,0,2026-01-13T00:05:01.616969Z,0.0800,100
KXBTC15M-26JAN121845-45,KXBTC15M-26JAN121845,no,2,51,2,142,0,2026-01-12T23:46:47.620567Z,0.0700,0
KXBTC15M-26JAN121830-30,KXBTC15M-26JAN121830,yes,0,0,2,96,0,2026-01-12T23:31:57.512661Z,0.0400,100
KXBTC15M-26JAN121815-15,KXBTC15M-26JAN121815,no,0,0,2,99,200,2026-01-12T23:16:47.570963Z,0.0400,0
KXBTC15M-26JAN121800-00,KXBTC15M-26JAN121800,no,0,0,1,58,100,2026-01-12T23:02:07.703711Z,0.0200,0
KXBTC15M-26JAN121745-45,KXBTC15M-26JAN121745,yes,0,0,2,130,0,2026-01-12T22:46:47.584603Z,0.0400,100
KXBTC15M-26JAN121730-30,KXBTC15M-26JAN121730,no,0,0,2,158,200,2026-01-12T22:31:47.564411Z,0.0400,0
KXBTC15M-26JAN121715-15,KXBTC15M-26JAN121715,yes,1,85,2,27,0,2026-01-12T22:16:47.518565Z,0.0300,100
KXBTC15M-26JAN121700-00,KXBTC15M-26JAN121700,no,0,0,2,138,200,2026-01-12T22:01:57.567135Z,0.0300,0
KXBTC15M-26JAN121630-30,KXBTC15M-26JAN121630,no,0,0,2,113,200,2026-01-12T21:31:47.546565Z,0.0400,0
KXBTC15M-26JAN121615-15,KXBTC15M-26JAN121615,no,0,0,2,158,200,2026-01-12T21:16:47.547643Z,0.0300,0
KXBTC15M-26JAN121600-00,KXBTC15M-26JAN121600,yes,4,226,4,235,0,2026-01-12T21:01:57.544198Z,0.1600,100
KXBTC15M-26JAN121545-45,KXBTC15M-26JAN121545,no,0,0,2,129,200,2026-01-12T20:46:47.550941Z,0.0400,0
KXBTC15M-26JAN121530-30,KXBTC15M-26JAN121530,no,0,0,2,138,200,2026-01-12T20:31:57.552438Z,0.0400,0
KXBTC15M-26JAN121515-15,KXBTC15M-26JAN121515,yes,2,168,0,0,200,2026-01-12T20:16:47.54916Z,0.0200,100
KXBTC15M-26JAN121445-45,KXBTC15M-26JAN121445,no,4,224,4,175,0,2026-01-12T19:46:47.55077Z,0.1600,0
KXBTC15M-26JAN121430-30,KXBTC15M-26JAN121430,yes,2,196,2,51,0,2026-01-12T19:31:57.553827Z,0.0500,100
KXBTC15M-26JAN121415-15,KXBTC15M-26JAN121415,no,2,44,2,124,0,2026-01-12T19:16:47.554276Z,0.0700,0
KXBTC15M-26JAN121400-00,KXBTC15M-26JAN121400,yes,2,186,2,116,0,2026-01-12T19:01:57.552496Z,0.0500,100
KXBTC15M-26JAN121345-45,KXBTC15M-26JAN121345,no,0,0,1,60,100,2026-01-12T18:46:47.550664Z,0.0200,0
KXBTC15M-26JAN121330-30,KXBTC15M-26JAN121330,yes,2,138,2,75,0,2026-01-12T18:31:57.549107Z,0.0700,100
KXBTC15M-26JAN121300-00,KXBTC15M-26JAN121300,yes,2,158,2,76,0,2026-01-12T18:01:57.544087Z,0.0700,100
KXBTC15M-26JAN121230-30,KXBTC15M-26JAN121230,no,0,0,2,86,200,2026-01-12T17:31:47.540784Z,0.0400,0
KXBTC15M-26JAN121215-15,KXBTC15M-26JAN121215,no,3,200,5,286,200,2026-01-12T17:16:47.559841Z,0.1500,0
KXBTC15M-26JAN121200-00,KXBTC15M-26JAN121200,no,9,555,9,578,0,2026-01-12T17:01:57.542676Z,0.3500,0
KXBTC15M-26JAN121145-45,KXBTC15M-26JAN121145,yes,8,445,8,516,0,2026-01-12T16:46:47.551989Z,0.2900,100
KXBTC15M-26JAN121130-30,KXBTC15M-26JAN121130,yes,7,312,4,282,300,2026-01-12T16:31:47.54365Z,0.2100,100
KXBTC15M-26JAN121115-15,KXBTC15M-26JAN121115,yes,2,144,0,0,200,2026-01-12T16:16:47.553427Z,0.0300,100
KXBTC15M-26JAN121015-15,KXBTC15M-26JAN121015,no,10,585,12,740,200,2026-01-12T15:16:37.554225Z,0.4300,0
KXBTC15M-26JAN121000-00,KXBTC15M-26JAN121000,yes,6,427,6,107,0,2026-01-12T15:01:57.55843Z,0.1500,100
KXBTC15M-26JAN120945-45,KXBTC15M-26JAN120945,yes,7,649,5,18,200,2026-01-12T14:46:47.54916Z,0.0800,100
KXBTC15M-26JAN120930-30,KXBTC15M-26JAN120930,no,3,32,5,422,200,2026-01-12T14:31:57.551126Z,0.0900,0
KXBTC15M-26JAN120915-15,KXBTC15M-26JAN120915,yes,4,260,4,157,0,2026-01-12T14:16:37.548174Z,0.1500,100
KXBTC15M-26JAN120900-00,KXBTC15M-26JAN120900,no,10,600,10,527,0,2026-01-12T14:01:57.553826Z,0.4000,0
KXBTC15M-26JAN120845-45,KXBTC15M-26JAN120845,no,3,174,3,73,0,2026-01-12T13:47:27.551329Z,0.1100,0
KXBTC15M-26JAN120830-30,KXBTC15M-26JAN120830,yes,0,0,3,69,0,2026-01-12T13:31:47.542346Z,0.0500,100
KXBTC15M-26JAN120815-15,KXBTC15M-26JAN120815,no,8,239,5,339,0,2026-01-12T13:16:47.556242Z,0.2000,0
