ticker,tte_bucket,side,p_cal,entry_price,ev,min_edge,win,pnl,y_true
KXBTC15M-26JAN172030-30,260,NO,0.9502,0.033,0.0168,0.01,0,-0.033,1
KXBTC15M-26JAN172030-30,280,NO,0.9518,0.033,0.0152,0.01,0,-0.033,1
KXBTC15M-26JAN172030-30,300,NO,0.9552,0.033,0.0118,0.01,0,-0.033,1
KXBTC15M-26JAN172030-30,360,NO,0.9164,0.053,0.0306,0.025,0,-0.053,1
KXBTC15M-26JAN172030-30,380,NO,0.8889,0.063,0.0481,0.025,0,-0.063,1
KXBTC15M-26JAN172030-30,400,NO,0.8766,0.063,0.0604,0.025,0,-0.063,1
KXBTC15M-26JAN172030-30,420,NO,0.881,0.083,0.036,0.025,0,-0.083,1
KXBTC15M-26JAN172030-30,440,NO,0.8541,0.083,0.0629,0.025,0,-0.083,1
KXBTC15M-26JAN172030-30,460,NO,0.8139,0.083,0.1031,0.025,0,-0.083,1
KXBTC15M-26JAN172030-30,480,NO,0.7422,0.133,0.1248,0.025,0,-0.133,1
KXBTC15M-26JAN172030-30,500,NO,0.6943,0.193,0.1127,0.025,0,-0.193,1
KXBTC15M-26JAN172030-30,520,NO,0.655,0.233,0.112,0.025,0,-0.233,1
KXBTC15M-26JAN172030-30,540,NO,0.6359,0.273,0.0911,0.025,0,-0.273,1
KXBTC15M-26JAN172030-30,580,NO,0.7004,0.273,0.0266,0.025,0,-0.273,1
KXBTC15M-26JAN172030-30,600,NO,0.6919,0.193,0.1151,0.05,0,-0.193,1
KXBTC15M-26JAN172030-30,620,NO,0.7069,0.183,0.1101,0.05,0,-0.183,1
KXBTC15M-26JAN172030-30,640,NO,0.6861,0.203,0.1109,0.05,0,-0.203,1
KXBTC15M-26JAN172030-30,660,NO,0.678,0.253,0.069,0.05,0,-0.253,1
KXBTC15M-26JAN172030-30,680,NO,0.622,0.293,0.085,0.05,0,-0.293,1
KXBTC15M-26JAN172045-45,80,YES,0.0682,0.053,0.0152,0.01,0,-0.053,0
KXBTC15M-26JAN172045-45,100,YES,0.098,0.083,0.015,0.01,0,-0.083,0
KXBTC15M-26JAN172045-45,140,YES,0.3802,0.153,0.2272,0.01,0,-0.153,0
KXBTC15M-26JAN172045-45,160,YES,0.3157,0.183,0.1327,0.01,0,-0.183,0
KXBTC15M-26JAN172045-45,180,YES,0.4012,0.193,0.2082,0.01,0,-0.193,0
KXBTC15M-26JAN172045-45,200,YES,0.3364,0.193,0.1434,0.01,0,-0.193,0
KXBTC15M-26JAN172045-45,220,YES,0.3245,0.163,0.1615,0.01,0,-0.163,0
KXBTC15M-26JAN172045-45,240,YES,0.3141,0.183,0.1311,0.01,0,-0.183,0
KXBTC15M-26JAN172045-45,260,YES,0.3526,0.283,0.0696,0.01,0,-0.283,0
KXBTC15M-26JAN172045-45,280,YES,0.3546,0.283,0.0716,0.01,0,-0.283,0
KXBTC15M-26JAN172045-45,300,YES,0.355,0.223,0.132,0.01,0,-0.223,0
KXBTC15M-26JAN172045-45,320,YES,0.3904,0.243,0.1474,0.01,0,-0.243,0
KXBTC15M-26JAN172045-45,340,YES,0.4059,0.253,0.1529,0.01,0,-0.253,0
KXBTC15M-26JAN172045-45,360,YES,0.4003,0.253,0.1473,0.025,0,-0.253,0
KXBTC15M-26JAN172045-45,380,YES,0.4881,0.243,0.2451,0.025,0,-0.243,0
KXBTC15M-26JAN172045-45,400,YES,0.4736,0.243,0.2306,0.025,0,-0.243,0
KXBTC15M-26JAN172045-45,420,YES,0.4349,0.253,0.1819,0.025,0,-0.253,0
KXBTC15M-26JAN172045-45,440,YES,0.4651,0.253,0.2121,0.025,0,-0.253,0
KXBTC15M-26JAN172045-45,460,YES,0.4113,0.253,0.1583,0.025,0,-0.253,0
KXBTC15M-26JAN172045-45,480,YES,0.4142,0.253,0.1612,0.025,0,-0.253,0
KXBTC15M-26JAN172045-45,500,YES,0.413,0.243,0.17,0.025,0,-0.243,0
KXBTC15M-26JAN172045-45,520,YES,0.4203,0.313,0.1073,0.025,0,-0.313,0
KXBTC15M-26JAN172045-45,540,YES,0.4263,0.323,0.1033,0.025,0,-0.323,0
KXBTC15M-26JAN172045-45,560,YES,0.4701,0.393,0.0771,0.025,0,-0.393,0
KXBTC15M-26JAN172045-45,580,YES,0.462,0.423,0.039,0.025,0,-0.423,0
KXBTC15M-26JAN172045-45,680,YES,0.6103,0.443,0.1673,0.05,0,-0.443,0
KXBTC15M-26JAN172100-00,80,YES,0.0575,0.023,0.0345,0.01,0,-0.023,0
KXBTC15M-26JAN172100-00,100,YES,0.0842,0.033,0.0512,0.01,0,-0.033,0
KXBTC15M-26JAN172100-00,120,YES,0.4137,0.033,0.3807,0.01,0,-0.033,0
KXBTC15M-26JAN172100-00,180,YES,0.1032,0.083,0.0202,0.01,0,-0.083,0
KXBTC15M-26JAN172100-00,200,YES,0.103,0.083,0.02,0.01,0,-0.083,0
KXBTC15M-26JAN172100-00,220,YES,0.1098,0.053,0.0568,0.01,0,-0.053,0
KXBTC15M-26JAN172100-00,240,YES,0.0912,0.053,0.0382,0.01,0,-0.053,0
KXBTC15M-26JAN172100-00,260,YES,0.1013,0.043,0.0583,0.01,0,-0.043,0
KXBTC15M-26JAN172100-00,280,YES,0.078,0.043,0.035,0.01,0,-0.043,0
KXBTC15M-26JAN172100-00,300,YES,0.0801,0.043,0.0371,0.01,0,-0.043,0
KXBTC15M-26JAN172100-00,320,YES,0.0864,0.043,0.0434,0.01,0,-0.043,0
KXBTC15M-26JAN172100-00,340,YES,0.1295,0.063,0.0665,0.01,0,-0.063,0
KXBTC15M-26JAN172100-00,360,YES,0.176,0.103,0.073,0.025,0,-0.103,0
KXBTC15M-26JAN172100-00,380,YES,0.2222,0.093,0.1292,0.025,0,-0.093,0
KXBTC15M-26JAN172100-00,400,YES,0.2171,0.093,0.1241,0.025,0,-0.093,0
KXBTC15M-26JAN172100-00,420,YES,0.2435,0.113,0.1305,0.025,0,-0.113,0
KXBTC15M-26JAN172100-00,440,YES,0.4518,0.193,0.2588,0.025,0,-0.193,0
KXBTC15M-26JAN172100-00,460,YES,0.4122,0.273,0.1392,0.025,0,-0.273,0
KXBTC15M-26JAN172100-00,480,YES,0.4688,0.373,0.0958,0.025,0,-0.373,0
KXBTC15M-26JAN172100-00,500,YES,0.4778,0.393,0.0848,0.025,0,-0.393,0
KXBTC15M-26JAN172100-00,520,YES,0.4614,0.393,0.0684,0.025,0,-0.393,0
KXBTC15M-26JAN172100-00,540,YES,0.5038,0.413,0.0908,0.025,0,-0.413,0
KXBTC15M-26JAN172100-00,560,YES,0.4999,0.433,0.0669,0.025,0,-0.433,0
KXBTC15M-26JAN172100-00,580,YES,0.5032,0.433,0.0702,0.025,0,-0.433,0
KXBTC15M-26JAN172100-00,600,YES,0.5126,0.403,0.1096,0.05,0,-0.403,0
KXBTC15M-26JAN172100-00,620,YES,0.4715,0.413,0.0585,0.05,0,-0.413,0
KXBTC15M-26JAN172100-00,640,YES,0.4837,0.423,0.0607,0.05,0,-0.423,0
KXBTC15M-26JAN172115-15,180,NO,0.9253,0.053,0.0217,0.01,0,-0.053,1
KXBTC15M-26JAN172115-15,260,YES,0.9236,0.903,0.0206,0.01,1,0.097,1
KXBTC15M-26JAN172115-15,320,YES,0.956,0.923,0.033,0.01,1,0.077,1
KXBTC15M-26JAN172115-15,340,YES,0.9634,0.873,0.0904,0.01,1,0.127,1
KXBTC15M-26JAN172115-15,360,YES,0.9302,0.853,0.0772,0.025,1,0.147,1
KXBTC15M-26JAN172115-15,380,YES,0.9473,0.873,0.0743,0.025,1,0.127,1
KXBTC15M-26JAN172115-15,400,YES,0.9088,0.873,0.0358,0.025,1,0.127,1
KXBTC15M-26JAN172115-15,420,YES,0.9409,0.903,0.0379,0.025,1,0.097,1
KXBTC15M-26JAN172115-15,440,YES,0.944,0.893,0.051,0.025,1,0.107,1
KXBTC15M-26JAN172115-15,520,YES,0.8525,0.723,0.1295,0.025,1,0.277,1
KXBTC15M-26JAN172115-15,540,YES,0.8156,0.763,0.0526,0.025,1,0.237,1
KXBTC15M-26JAN172115-15,660,NO,0.7099,0.233,0.0571,0.05,0,-0.233,1
KXBTC15M-26JAN172130-30,80,NO,0.074,0.173,0.753,0.01,0,-0.173,1
KXBTC15M-26JAN172130-30,100,NO,0.113,0.323,0.564,0.01,0,-0.323,1
KXBTC15M-26JAN172130-30,120,NO,0.0823,0.203,0.7147,0.01,0,-0.203,1
KXBTC15M-26JAN172130-30,140,NO,0.4658,0.323,0.2112,0.01,0,-0.323,1
KXBTC15M-26JAN172130-30,160,NO,0.6006,0.203,0.1964,0.01,0,-0.203,1
KXBTC15M-26JAN172130-30,180,NO,0.8544,0.043,0.1026,0.01,0,-0.043,1
KXBTC15M-26JAN172130-30,200,NO,0.8281,0.053,0.1189,0.01,0,-0.053,1
KXBTC15M-26JAN172130-30,220,NO,0.8757,0.073,0.0513,0.01,0,-0.073,1
KXBTC15M-26JAN172130-30,260,NO,0.8249,0.153,0.0221,0.01,0,-0.153,1
KXBTC15M-26JAN172130-30,300,NO,0.835,0.143,0.022,0.01,0,-0.143,1
KXBTC15M-26JAN172130-30,340,NO,0.805,0.123,0.072,0.01,0,-0.123,1
KXBTC15M-26JAN172130-30,360,NO,0.7788,0.123,0.0982,0.025,0,-0.123,1
KXBTC15M-26JAN172130-30,380,NO,0.8034,0.133,0.0636,0.025,0,-0.133,1
KXBTC15M-26JAN172130-30,400,NO,0.7884,0.153,0.0586,0.025,0,-0.153,1
KXBTC15M-26JAN172130-30,420,NO,0.7935,0.163,0.0435,0.025,0,-0.163,1
KXBTC15M-26JAN172130-30,440,NO,0.7739,0.183,0.0431,0.025,0,-0.183,1
KXBTC15M-26JAN172130-30,460,NO,0.7507,0.203,0.0463,0.025,0,-0.203,1
KXBTC15M-26JAN172130-30,540,NO,0.723,0.193,0.084,0.025,0,-0.193,1
KXBTC15M-26JAN172130-30,560,NO,0.753,0.203,0.044,0.025,0,-0.203,1
KXBTC15M-26JAN172130-30,580,NO,0.7488,0.203,0.0482,0.025,0,-0.203,1
KXBTC15M-26JAN172130-30,600,NO,0.716,0.203,0.081,0.05,0,-0.203,1
KXBTC15M-26JAN172130-30,680,NO,0.7189,0.193,0.0881,0.05,0,-0.193,1
KXBTC15M-26JAN172130-30,700,NO,0.7068,0.133,0.1602,0.05,0,-0.133,1
KXBTC15M-26JAN172130-30,720,NO,0.743,0.143,0.114,0.05,0,-0.143,1
KXBTC15M-26JAN172145-45,100,YES,0.0775,0.063,0.0145,0.01,0,-0.063,0
KXBTC15M-26JAN172145-45,120,YES,0.0438,0.013,0.0308,0.01,0,-0.013,0
KXBTC15M-26JAN172145-45,220,YES,0.0284,0.013,0.0154,0.01,0,-0.013,0
KXBTC15M-26JAN172145-45,240,YES,0.0486,0.033,0.0156,0.01,0,-0.033,0
KXBTC15M-26JAN172145-45,260,YES,0.0531,0.033,0.0201,0.01,0,-0.033,0
KXBTC15M-26JAN172145-45,320,YES,0.0434,0.023,0.0204,0.01,0,-0.023,0
KXBTC15M-26JAN172145-45,340,YES,0.051,0.023,0.028,0.01,0,-0.023,0
KXBTC15M-26JAN172145-45,360,YES,0.0669,0.023,0.0439,0.025,0,-0.023,0
KXBTC15M-26JAN172145-45,380,YES,0.078,0.023,0.055,0.025,0,-0.023,0
KXBTC15M-26JAN172145-45,400,YES,0.0826,0.023,0.0596,0.025,0,-0.023,0
KXBTC15M-26JAN172145-45,420,YES,0.1152,0.043,0.0722,0.025,0,-0.043,0
