ticker,tte_bucket,side,p_cal,entry_price,fee,ev,min_edge,win,gross_pnl,pnl,y_true
KXBTC15M-26JAN172045-45,360,YES,0.382595,0.253,0.02,0.12959500000000002,0.025,0,-0.253,-0.273,0
KXBTC15M-26JAN172100-00,360,YES,0.16096,0.10300000000000001,0.01,0.057959999999999984,0.025,0,-0.10300000000000001,-0.113,0
KXBTC15M-26JAN172115-15,360,YES,0.930992,0.853,0.01,0.07799200000000006,0.025,1,0.14700000000000002,0.137,1
KXBTC15M-26JAN172145-45,360,YES,0.058734,0.023,0.01,0.035734,0.025,0,-0.023,-0.033,0
KXBTC15M-26JAN172200-00,320,YES,0.894785,0.783,0.02,0.11178500000000002,0.01,1,0.21699999999999997,0.19699999999999998,1
KXBTC15M-26JAN172215-15,340,YES,0.75703,0.683,0.02,0.07402999999999993,0.01,1,0.31699999999999995,0.29699999999999993,1
KXBTC15M-26JAN172230-30,360,YES,0.356102,0.263,0.02,0.09310199999999996,0.025,1,0.737,0.717,1
KXBTC15M-26JAN172245-45,300,YES,0.957206,0.943,0.01,0.014206000000000055,0.01,1,0.05700000000000005,0.04700000000000005,1
KXBTC15M-26JAN172300-00,360,YES,0.622,0.443,0.02,0.179,0.025,1,0.5569999999999999,0.5369999999999999,1
KXBTC15M-26JAN172315-15,360,YES,0.275332,0.193,0.02,0.08233200000000002,0.025,0,-0.193,-0.213,0
KXBTC15M-26JAN172330-30,360,YES,0.169638,0.133,0.01,0.036638000000000004,0.025,0,-0.133,-0.14300000000000002,0
KXBTC15M-26JAN172345-45,260,YES,0.126489,0.113,0.01,0.01348899999999999,0.01,0,-0.113,-0.123,0
KXBTC15M-26JAN180245-45,360,YES,0.124105,0.07300000000000001,0.01,0.051104999999999984,0.025,0,-0.07300000000000001,-0.083,0
KXBTC15M-26JAN180300-00,120,YES,0.995523,0.883,0.01,0.11252300000000004,0.01,1,0.11699999999999999,0.107,1
KXBTC15M-26JAN180315-15,340,YES,0.40368,0.353,0.02,0.05068,0.01,1,0.647,0.627,1
KXBTC15M-26JAN180330-30,280,YES,0.882408,0.823,0.02,0.059408000000000016,0.01,1,0.17700000000000005,0.15700000000000006,1
KXBTC15M-26JAN180345-45,340,YES,0.932379,0.903,0.01,0.029378999999999936,0.01,1,0.09699999999999998,0.08699999999999998,1
KXBTC15M-26JAN180400-00,360,YES,0.749444,0.723,0.02,0.026444000000000027,0.025,1,0.277,0.257,1
KXBTC15M-26JAN180415-15,340,YES,0.327894,0.243,0.02,0.08489400000000002,0.01,0,-0.243,-0.263,0
KXBTC15M-26JAN180430-30,320,YES,0.926452,0.913,0.01,0.013452000000000023,0.01,1,0.08699999999999997,0.07699999999999997,1
KXBTC15M-26JAN180445-45,280,YES,0.900118,0.833,0.01,0.06711800000000001,0.01,1,0.16700000000000004,0.15700000000000003,1
KXBTC15M-26JAN180515-15,360,YES,0.068036,0.023,0.01,0.04503599999999999,0.025,0,-0.023,-0.033,0
KXBTC15M-26JAN180530-30,360,YES,0.385141,0.243,0.02,0.14214100000000002,0.025,0,-0.243,-0.263,0
KXBTC15M-26JAN180545-45,360,YES,0.378421,0.323,0.02,0.055421,0.025,1,0.677,0.657,1
KXBTC15M-26JAN180600-00,360,YES,0.701489,0.583,0.02,0.11848900000000007,0.025,1,0.41700000000000004,0.397,1
KXBTC15M-26JAN180615-15,340,YES,0.124479,0.10300000000000001,0.01,0.021479,0.01,0,-0.10300000000000001,-0.113,0
KXBTC15M-26JAN180630-30,300,YES,0.458356,0.223,0.02,0.23535599999999998,0.01,0,-0.223,-0.243,0
KXBTC15M-26JAN180645-45,340,YES,0.129181,0.10300000000000001,0.01,0.026180999999999986,0.01,1,0.897,0.887,1
KXBTC15M-26JAN180700-00,120,YES,0.996383,0.933,0.01,0.06338299999999997,0.01,1,0.06699999999999995,0.05699999999999995,1
KXBTC15M-26JAN180715-15,360,YES,0.198864,0.14300000000000002,0.01,0.055864,0.025,0,-0.14300000000000002,-0.15300000000000002,0
KXBTC15M-26JAN180730-30,240,YES,0.328485,0.223,0.02,0.10548500000000002,0.01,1,0.777,0.757,1
KXBTC15M-26JAN180745-45,120,YES,0.995949,0.953,0.01,0.042949000000000015,0.01,1,0.04700000000000004,0.03700000000000004,1
KXBTC15M-26JAN180800-00,360,YES,0.161699,0.093,0.01,0.06869900000000001,0.025,0,-0.093,-0.103,0
KXBTC15M-26JAN180815-15,360,YES,0.11985,0.07300000000000001,0.01,0.04684999999999999,0.025,0,-0.07300000000000001,-0.083,0
KXBTC15M-26JAN180830-30,360,YES,0.083309,0.033,0.01,0.05030899999999999,0.025,0,-0.033,-0.043000000000000003,0
