ticker,tte_bucket,p_raw,p_cal,market_p_yes,market_p_no,y_true
KXBTC15M-26JAN172030-30,80,0.996932,0.987142,0.99,0.01,1
KXBTC15M-26JAN172030-30,100,0.996897,0.986401,0.99,0.01,1
KXBTC15M-26JAN172030-30,120,0.996897,0.997092,0.99,0.01,1
KXBTC15M-26JAN172030-30,140,0.962538,0.992199,0.99,0.01,1
KXBTC15M-26JAN172030-30,160,0.962538,0.980089,0.99,0.02,1
KXBTC15M-26JAN172030-30,180,0.962538,0.970879,0.99,0.02,1
KXBTC15M-26JAN172030-30,200,0.929256,0.96572,0.99,0.02,1
KXBTC15M-26JAN172030-30,220,0.929256,0.95951,0.98,0.03,1
KXBTC15M-26JAN172030-30,240,0.929256,0.964362,0.98,0.03,1
KXBTC15M-26JAN172030-30,260,0.88431,0.949342,0.98,0.03,1
KXBTC15M-26JAN172030-30,280,0.875017,0.95005,0.98,0.03,1
KXBTC15M-26JAN172030-30,300,0.8866,0.950116,0.98,0.03,1
KXBTC15M-26JAN172030-30,320,0.86631,0.953475,0.98,0.05,1
KXBTC15M-26JAN172030-30,340,0.879332,0.955803,0.97,0.05,1
KXBTC15M-26JAN172030-30,360,0.845268,0.916892,0.98,0.05,1
KXBTC15M-26JAN172030-30,380,0.773653,0.88404,0.98,0.06,1
KXBTC15M-26JAN172030-30,400,0.771985,0.876831,0.98,0.06,1
KXBTC15M-26JAN172030-30,420,0.773234,0.86299,0.98,0.08,1
KXBTC15M-26JAN172030-30,440,0.727271,0.8335,0.97,0.08,1
KXBTC15M-26JAN172030-30,460,0.706026,0.799176,0.96,0.08,1
KXBTC15M-26JAN172030-30,480,0.660025,0.731268,0.9,0.13,1
KXBTC15M-26JAN172030-30,500,0.598108,0.678299,0.9,0.19,1
KXBTC15M-26JAN172030-30,520,0.579961,0.645074,0.81,0.23,1
KXBTC15M-26JAN172030-30,540,0.598108,0.623216,0.81,0.27,1
KXBTC15M-26JAN172030-30,560,0.65361,0.667456,0.81,0.29,1
KXBTC15M-26JAN172030-30,580,0.667639,0.676679,0.81,0.27,1
KXBTC15M-26JAN172030-30,600,0.654592,0.664406,0.9,0.19,1
KXBTC15M-26JAN172030-30,620,0.660945,0.674639,0.84,0.18,1
KXBTC15M-26JAN172030-30,640,0.642787,0.66547,0.82,0.2,1
KXBTC15M-26JAN172030-30,660,0.642787,0.655885,0.79,0.25,1
KXBTC15M-26JAN172030-30,680,0.58973,0.598184,0.8,0.29,1
KXBTC15M-26JAN172045-45,80,0.004343,0.047895,0.05,0.97,0
KXBTC15M-26JAN172045-45,100,0.004333,0.084826,0.08,0.95,0
KXBTC15M-26JAN172045-45,120,0.004326,0.066049,0.15,0.96,0
KXBTC15M-26JAN172045-45,140,0.228559,0.323013,0.15,0.86,0
KXBTC15M-26JAN172045-45,160,0.179422,0.295523,0.18,0.85,0
KXBTC15M-26JAN172045-45,180,0.228559,0.366155,0.19,0.94,0
KXBTC15M-26JAN172045-45,200,0.22903,0.314972,0.19,0.83,0
KXBTC15M-26JAN172045-45,220,0.214324,0.302809,0.16,0.98,0
KXBTC15M-26JAN172045-45,240,0.194297,0.290942,0.18,0.98,0
KXBTC15M-26JAN172045-45,260,0.259989,0.316048,0.28,0.8,0
KXBTC15M-26JAN172045-45,280,0.259989,0.322521,0.28,0.91,0
KXBTC15M-26JAN172045-45,300,0.259989,0.337905,0.22,0.9,0
KXBTC15M-26JAN172045-45,320,0.300704,0.372131,0.24,0.9,0
KXBTC15M-26JAN172045-45,340,0.300704,0.383674,0.25,0.86,0
KXBTC15M-26JAN172045-45,360,0.300704,0.382595,0.25,0.82,0
KXBTC15M-26JAN172045-45,380,0.372429,0.468026,0.24,0.8,0
KXBTC15M-26JAN172045-45,400,0.372429,0.458539,0.24,0.79,0
KXBTC15M-26JAN172045-45,420,0.337526,0.421613,0.25,0.8,0
KXBTC15M-26JAN172045-45,440,0.387323,0.453215,0.25,0.77,0
KXBTC15M-26JAN172045-45,460,0.354055,0.402149,0.25,0.76,0
KXBTC15M-26JAN172045-45,480,0.354055,0.401362,0.25,0.76,0
KXBTC15M-26JAN172045-45,500,0.356494,0.402719,0.24,0.77,0
KXBTC15M-26JAN172045-45,520,0.369787,0.410361,0.31,0.72,0
KXBTC15M-26JAN172045-45,540,0.356494,0.414312,0.32,0.69,0
KXBTC15M-26JAN172045-45,560,0.411531,0.460856,0.39,0.66,0
KXBTC15M-26JAN172045-45,580,0.398286,0.455499,0.42,0.62,0
KXBTC15M-26JAN172045-45,600,0.439762,0.487841,0.46,0.58,0
KXBTC15M-26JAN172045-45,620,0.416969,0.45111,0.42,0.6,0
KXBTC15M-26JAN172045-45,640,0.455955,0.481786,0.49,0.54,0
KXBTC15M-26JAN172045-45,660,0.330092,0.370972,0.41,0.61,0
KXBTC15M-26JAN172045-45,680,0.576742,0.58747,0.44,0.62,0
KXBTC15M-26JAN172045-45,700,0.527546,0.535974,0.64,0.42,0
KXBTC15M-26JAN172045-45,720,0.554189,0.565799,0.65,0.42,0
KXBTC15M-26JAN172100-00,80,0.003217,0.039681,0.02,0.98,0
KXBTC15M-26JAN172100-00,100,0.003217,0.072012,0.03,0.99,0
KXBTC15M-26JAN172100-00,120,0.082823,0.41286,0.03,0.98,0
KXBTC15M-26JAN172100-00,140,0.043535,0.043751,0.07,0.97,0
KXBTC15M-26JAN172100-00,160,0.037564,0.069698,0.08,0.98,0
KXBTC15M-26JAN172100-00,180,0.043535,0.095261,0.08,0.98,0
KXBTC15M-26JAN172100-00,200,0.071471,0.09589,0.08,0.97,0
KXBTC15M-26JAN172100-00,220,0.066742,0.098329,0.05,0.97,0
KXBTC15M-26JAN172100-00,240,0.051023,0.078465,0.05,0.97,0
KXBTC15M-26JAN172100-00,260,0.082448,0.082323,0.04,0.97,0
KXBTC15M-26JAN172100-00,280,0.068532,0.06482,0.04,0.98,0
KXBTC15M-26JAN172100-00,300,0.068532,0.076095,0.04,0.97,0
KXBTC15M-26JAN172100-00,320,0.090366,0.0804,0.04,0.97,0
KXBTC15M-26JAN172100-00,340,0.112925,0.119206,0.06,0.97,0
KXBTC15M-26JAN172100-00,360,0.132496,0.16096,0.1,0.93,0
KXBTC15M-26JAN172100-00,380,0.180408,0.20567,0.09,0.94,0
KXBTC15M-26JAN172100-00,400,0.180408,0.201207,0.09,0.94,0
KXBTC15M-26JAN172100-00,420,0.196772,0.241069,0.11,0.93,0
KXBTC15M-26JAN172100-00,440,0.37776,0.440712,0.19,0.84,0
KXBTC15M-26JAN172100-00,460,0.354738,0.403014,0.27,0.74,0
KXBTC15M-26JAN172100-00,480,0.400891,0.455419,0.37,0.68,0
KXBTC15M-26JAN172100-00,500,0.408789,0.465446,0.39,0.67,0
KXBTC15M-26JAN172100-00,520,0.404943,0.451105,0.39,0.65,0
KXBTC15M-26JAN172100-00,540,0.442863,0.491045,0.41,0.61,0
KXBTC15M-26JAN172100-00,560,0.442863,0.488316,0.43,0.6,0
KXBTC15M-26JAN172100-00,580,0.442863,0.493185,0.43,0.59,0
KXBTC15M-26JAN172100-00,600,0.452105,0.498206,0.4,0.62,0
KXBTC15M-26JAN172100-00,620,0.426309,0.459876,0.41,0.62,0
KXBTC15M-26JAN172100-00,640,0.442971,0.46876,0.42,0.62,0
KXBTC15M-26JAN172100-00,660,0.309865,0.351544,0.41,0.63,0
KXBTC15M-26JAN172100-00,680,0.313301,0.364642,0.43,0.62,0
KXBTC15M-26JAN172100-00,700,0.40858,0.447581,0.49,0.56,0
KXBTC15M-26JAN172100-00,720,0.40858,0.439914,0.48,0.56,0
KXBTC15M-26JAN172115-15,80,0.996635,0.986349,0.99,0.02,1
KXBTC15M-26JAN172115-15,100,0.996391,0.985139,0.99,0.02,1
KXBTC15M-26JAN172115-15,120,0.996363,0.996721,0.99,0.02,1
KXBTC15M-26JAN172115-15,140,0.876148,0.961997,0.99,0.05,1
KXBTC15M-26JAN172115-15,160,0.876135,0.931301,0.96,0.06,1
KXBTC15M-26JAN172115-15,180,0.868236,0.906371,0.96,0.05,1
KXBTC15M-26JAN172115-15,200,0.835676,0.909513,0.95,0.07,1
KXBTC15M-26JAN172115-15,220,0.868365,0.920884,0.93,0.1,1
KXBTC15M-26JAN172115-15,240,0.877045,0.934519,0.93,0.09,1
KXBTC15M-26JAN172115-15,260,0.837285,0.920921,0.9,0.15,1
KXBTC15M-26JAN172115-15,280,0.896266,0.961013,0.95,0.08,1
KXBTC15M-26JAN172115-15,300,0.896266,0.955361,0.95,0.06,1
KXBTC15M-26JAN172115-15,320,0.864808,0.952721,0.92,0.11,1
KXBTC15M-26JAN172115-15,340,0.888172,0.960144,0.87,0.15,1
KXBTC15M-26JAN172115-15,360,0.8671,0.930992,0.85,0.16,1
KXBTC15M-26JAN172115-15,380,0.869369,0.945475,0.87,0.15,1
KXBTC15M-26JAN172115-15,400,0.818232,0.909786,0.87,0.18,1
KXBTC15M-26JAN172115-15,420,0.866381,0.928866,0.9,0.18,1
KXBTC15M-26JAN172115-15,440,0.855558,0.931355,0.89,0.21,1
KXBTC15M-26JAN172115-15,460,0.620684,0.714934,0.79,0.31,1
KXBTC15M-26JAN172115-15,480,0.621149,0.692939,0.7,0.37,1
KXBTC15M-26JAN172115-15,500,0.620878,0.701901,0.7,0.38,1
KXBTC15M-26JAN172115-15,520,0.787921,0.84655,0.72,0.37,1
KXBTC15M-26JAN172115-15,540,0.8134,0.806423,0.76,0.34,1
KXBTC15M-26JAN172115-15,560,0.809476,0.801344,0.85,0.22,1
KXBTC15M-26JAN172115-15,580,0.809476,0.795326,0.87,0.19,1
KXBTC15M-26JAN172115-15,600,0.7776,0.766986,0.87,0.19,1
KXBTC15M-26JAN172115-15,620,0.799755,0.800784,0.84,0.19,1
KXBTC15M-26JAN172115-15,640,0.799755,0.81479,0.86,0.19,1
